RIVER	ERECTED	PURPOSE	LENGTH	LANES	CLEAR_G	T_OR_D	MATERIAL	SPAN	REL_L	TYPE
O	MATURE	HIGHWAY	?	2	G	THROUGH	IRON	SHORT	F	SIMPLE-T
A	MATURE	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
M	MATURE	HIGHWAY	?	2	G	THROUGH	IRON	MEDIUM	F	SIMPLE-T
M	MATURE	RR	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
A	MATURE	HIGHWAY	?	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
A	MATURE	AQUEDUCT	MEDIUM	1	N	THROUGH	WOOD	SHORT	S	WOOD
M	MATURE	HIGHWAY	?	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
M	MATURE	HIGHWAY	?	2	G	THROUGH	IRON	MEDIUM	F	SIMPLE-T
M	MATURE	HIGHWAY	LONG	2	G	THROUGH	STEEL	LONG	F	SIMPLE-T
O	MATURE	HIGHWAY	?	2	G	THROUGH	STEEL	LONG	F	SUSPEN
M	MATURE	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	LONG	F	ARCH
A	MATURE	RR	LONG	2	G	DECK	STEEL	LONG	F	SIMPLE-T
M	MATURE	RR	LONG	?	G	THROUGH	STEEL	?	F	SIMPLE-T
M	MATURE	RR	LONG	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
A	MATURE	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
A	MATURE	HIGHWAY	LONG	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
M	MATURE	RR	?	2	G	THROUGH	STEEL	LONG	F	SIMPLE-T
A	MATURE	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	F	CANTILEV
M	MATURE	RR	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
A	MATURE	RR	LONG	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
M	MATURE	RR	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
M	MATURE	RR	MEDIUM	?	G	THROUGH	STEEL	LONG	F	SIMPLE-T
M	MATURE	RR	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	S-F	SIMPLE-T
A	MATURE	RR	SHORT	4	G	THROUGH	STEEL	MEDIUM	S-F	SIMPLE-T
M	MATURE	RR	MEDIUM	?	G	THROUGH	STEEL	LONG	F	CANTILEV
Y	MATURE	HIGHWAY	MEDIUM	?	G	?	STEEL	MEDIUM	F	SIMPLE-T
M	MATURE	HIGHWAY	?	?	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
A	MATURE	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	LONG	F	SIMPLE-T
O	MATURE	RR	MEDIUM	2	G	THROUGH	STEEL	LONG	F	CANTILEV
O	MATURE	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	LONG	F	CANTILEV
A	MATURE	RR	?	?	G	?	STEEL	?	F	NIL
M	MATURE	RR	LONG	?	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
O	MATURE	RR	LONG	2	G	THROUGH	STEEL	LONG	F	SIMPLE-T
A	MATURE	HIGHWAY	MEDIUM	4	G	THROUGH	STEEL	LONG	F	SIMPLE-T
A	MATURE	RR	LONG	2	N	DECK	STEEL	LONG	F	CONT-T
A	MATURE	RR	LONG	2	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
A	MATURE	WALK	?	?	G	THROUGH	STEEL	?	F	SUSPEN
A	MATURE	HIGHWAY	SHORT	4	G	THROUGH	STEEL	MEDIUM	F	ARCH
A	MATURE	HIGHWAY	LONG	4	G	THROUGH	STEEL	MEDIUM	S	ARCH
A	MATURE	HIGHWAY	SHORT	4	G	THROUGH	STEEL	MEDIUM	S-F	SUSPEN
A	MATURE	HIGHWAY	SHORT	4	G	THROUGH	STEEL	MEDIUM	S-F	SUSPEN
O	MATURE	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	LONG	S-F	CANTILEV
A	MATURE	HIGHWAY	MEDIUM	?	G	THROUGH	STEEL	MEDIUM	S	ARCH
M	MATURE	HIGHWAY	LONG	4	N	DECK	STEEL	MEDIUM	S-F	CANTILEV
M	MATURE	HIGHWAY	MEDIUM	4	G	THROUGH	STEEL	LONG	F	CANTILEV
A	MATURE	HIGHWAY	LONG	4	G	DECK	STEEL	MEDIUM	F	ARCH
M	MATURE	HIGHWAY	LONG	2	G	DECK	STEEL	MEDIUM	S-F	CANTILEV
A	MATURE	HIGHWAY	SHORT	4	G	THROUGH	STEEL	MEDIUM	S-F	SUSPEN
M	MATURE	HIGHWAY	LONG	2	G	THROUGH	STEEL	MEDIUM	S	SIMPLE-T
O	MATURE	HIGHWAY	MEDIUM	4	G	THROUGH	STEEL	LONG	F	ARCH
O	MATURE	HIGHWAY	MEDIUM	4	N	THROUGH	STEEL	LONG	F	ARCH
M	MATURE	HIGHWAY	MEDIUM	4	G	THROUGH	STEEL	LONG	F	SUSPEN
M	MATURE	HIGHWAY	MEDIUM	4	N	DECK	STEEL	LONG	S-F	CONT-T
A	MATURE	HIGHWAY	MEDIUM	4	G	DECK	STEEL	MEDIUM	F	CANTILEV
A	MODERN	HIGHWAY	MEDIUM	4	G	DECK	STEEL	MEDIUM	S-F	CONT-T
A	MODERN	RR	SHORT	2	G	THROUGH	STEEL	MEDIUM	S-F	SIMPLE-T
A	MODERN	HIGHWAY	MEDIUM	2	N	DECK	STEEL	MEDIUM	S-F	CONT-T
O	MODERN	HIGHWAY	LONG	2	G	THROUGH	STEEL	LONG	F	CANTILEV
Y	MODERN	HIGHWAY	?	?	G	THROUGH	STEEL	MEDIUM	S	ARCH
Y	MODERN	RR	?	?	G	THROUGH	STEEL	MEDIUM	F	SIMPLE-T
M	MODERN	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	MEDIUM	S-F	SIMPLE-T
M	MODERN	HIGHWAY	SHORT	4	G	THROUGH	STEEL	MEDIUM	F	CONT-T
M	MODERN	HIGHWAY	LONG	4	G	DECK	STEEL	LONG	F	CONT-T
M	MODERN	HIGHWAY	MEDIUM	4	G	THROUGH	STEEL	LONG	F	CANTILEV
A	MODERN	HIGHWAY	LONG	4	N	DECK	STEEL	LONG	F	CONT-T
O	MODERN	HIGHWAY	SHORT	?	G	THROUGH	STEEL	?	F	SIMPLE-T
O	MODERN	HIGHWAY	MEDIUM	2	G	THROUGH	STEEL	LONG	F	CONT-T
M	MODERN	HIGHWAY	MEDIUM	6	G	THROUGH	STEEL	LONG	F	ARCH
A	MODERN	HIGHWAY	SHORT	4	G	DECK	STEEL	MEDIUM	S-F	CONT-T
M	MODERN	HIGHWAY	LONG	4	G	DECK	STEEL	LONG	F	CONT-T
A	MODERN	HIGHWAY	SHORT	6	G	THROUGH	STEEL	MEDIUM	F	ARCH
O	MODERN	HIGHWAY	LONG	6	G	THROUGH	STEEL	LONG	F	ARCH
M	MODERN	HIGHWAY	SHORT	6	G	THROUGH	STEEL	LONG	F	ARCH
O	MODERN	HIGHWAY	?	?	G	?	?	?	F	?
A	MODERN	HIGHWAY	?	?	G	?	?	?	F	?
